"company","plan","flat_rate","new_flat_rate","plan_included_min","price_per_inc_min","first_step_starts_at","first_step_cost","second_step_start","second_step_cost","pkg_includes_sms","price_per_sms","sms_beyond_pkg"
"אורנג'","משפחה 1",99.00,99.00,80,0.00,0,0,0,0,40,0,0
"אורנג'","  2 משפחה",139.00,139.00,200,0.00,0,0,0,0,200,0,0
"אורנג'","  3 משפחה",299.00,299.00,500,0.00,0,0,0,0,250,0,0
"אורנג'","משפחה 4",429.00,429.00,1000,0.00,0,0,0,0,500,0,0
"אורנג'","  5 משפחה",93.00,168.33,80,0.78,0,0.69,0,0,40,0.33,0
"אורנג'","משפחה 6",129.00,229.00,200,0.50,0,0.69,0,0,200,0,0
"אורנג'","  7 משפחה",0.00,192.50,500,0.39,0,0.69,0,0,250,0,0
"סלקום ","מחיר אחיד",40.10,40.10,0,0.70,0,0,0,0,0,0.54,0
"סלקום","מחיר אחיד 2",44.10,44.10,0,0.80,0,0,0,0,0,0.53,0
"סלקום","פשוט אישי",45.10,45.10,0,0.60,0,0,0,0,0,0.53,0
"סלקום","פשוט אישי המשפחה שלי",45.10,61.10,300,0.05,0,0,0,0,0,0.53,0
"סלקום","פשוט אישי אחד חינם",45.10,61.10,300,0.05,0,0,0,0,0,0.53,0
"סלקום","פשוט אישי החברה שלי",45.10,86.10,100,0.41,0,0,0,0,0,0.53,0
"סלקום","פשוט אישי החברים שלי בסלקום ",45.10,71.10,100,0.26,0,0,0,0,0,0.53,0
"סלקום","פשוט אישי מדברים קבוע 100",45.10,85.10,100,0.40,0,0,0,0,0,0.53,0
"סלקום","פשוט אישי מדברים קבוע 200",45.10,136.10,200,0.46,0,0,0,0,0,0.53,0
"סלקום","פשוט אישי מדברים קבוע 400",45.10,238.10,400,0.48,0,0,0,0,0,0.53,0
"סלקום","פשוט אישי מדברים קבוע 500",45.10,285.10,500,0.48,0,0,0,0,0,0.53,0
"פלאפון","פלאפון חיילים",9.90,9.90,0,0.25,0,0.25,0,0.25,0,0.16,0
"פלאפון","Fix Deal",24.20,263.20,420,0.57,0,0.69,0,0,0,0,0.52
"פלאפון ","Friends Deal",24.20,263.20,575,0.42,0,0.69,0,0,0,0,0.52
"פלאפון","Nights & Wknd",24.20,263.20,575,0.42,0,0.69,0,0,0,0,0.52
"פלאפון","סטודנטים ",29.90,93.90,125,0.26,0,0.59,0,0,125,0.26,0.49
"פלאפון","סטודנטים ",29.90,155.90,250,0.25,0,0.59,0,0,250,0.25,0.49
"פלאפון","Fix Deal 1500",24.20,723.20,1500,0.47,0,0.69,0,0,0,0,0.52
"פלאפון","Friends Deal 1850",24.20,723.20,1850,0.38,0,0.69,0,0,0,0,0.52
"פלאפון","Fix Deal 1000",24.20,523.20,1000,0.50,0,0.69,0,0,0,0,0.52
"פלאפון","Friends Deal 1250",24.20,523.20,1250,0.40,0,0.69,0,0,0,0,0.52
"פלאפון","Nights & Wknd 1250",24.20,523.20,1250,0.40,0,0.69,0,0,0,0,0.52
"פלאפון","Fix Deal 750",24.20,423.20,750,0.53,0,0.69,0,0,0,0,0.52
"פלאפון","Friends Deal 975",23.90,422.90,975,0.41,0,0.69,0,0,0,0,0.52
"פלאפון","Nights & Wknd 975",23.90,422.90,975,0.41,0,0.69,0,0,0,0,0.52
"פלאפון","Fix Deal 216",24.20,151.20,216,0.59,0,0.69,0,0,0,0,0.52
"פלאפון","Friends Deal 300",24.20,151.20,300,0.42,0,0.69,0,0,0,0,0.52
"פלאפון","Nights & Wknd 300",24.20,151.20,300,0.42,0,0.69,0,0,0,0,0.52
"פלאפון","Fix Deal 112",24.20,93.20,112,0.62,0,0.69,0,0,0,0,0.52
"פלאפון","Friends Deal 150",24.20,93.20,150,0.46,0,0.69,0,0,0,0,0.52
"פלאפון","Nights & Wknd 150",24.20,93.20,150,0.46,0,0.69,0,0,0,0,0.52
"פלאפון","מחיר אחיד",44.10,44.10,0,0.00,0,0.6,0,0,0,0,0.49
"פלאפון","iphone 1",100.00,300.00,250,0.40,0,0.59,0,0,250,0.4,0.49
"פלאפון","iphone 2",100.00,350.00,300,0.42,0,0.59,0,0,300,0.42,0.49
